
ApplicationBackgroundBrush	                        Sfondo dell'applicazione
KeyboardFocusBorderColorBrush	                    Colore del bordo per il focus da tastiera
	
TextFillColorPrimaryBrush	                        Colore di riempimento del testo primario
TextFillColorSecondaryBrush	                        Colore di riempimento del testo secondario
TextFillColorTertiaryBrush	                        Colore di riempimento del testo terziario
TextFillColorDisabledBrush	                        Colore di riempimento del testo disabilitato
TextPlaceholderColorBrush	                        Colore del testo segnaposto
TextFillColorInverseBrush	                        Colore di riempimento del testo inverso
AccentTextFillColorDisabledBrush	                Colore di riempimento del testo accentato disabilitato
AccentTextFillColorPrimaryBrush	                    Colore di riempimento del testo accentato primario
AccentTextFillColorSecondaryBrush	                Colore di riempimento del testo accentato secondario
AccentTextFillColorTertiaryBrush	                Colore di riempimento del testo accentato terziario
TextOnAccentFillColorSelectedTextBrush	            Colore del testo su riempimento accentato per testo selezionato
TextOnAccentFillColorPrimaryBrush	                Colore del testo su riempimento accentato primario
TextOnAccentFillColorSecondaryBrush	                Colore del testo su riempimento accentato secondario
TextOnAccentFillColorDisabledBrush	                Colore del testo su riempimento accentato disabilitato
	
ControlFillColorDefaultBrush	                    Colore di riempimento del controllo predefinito
ControlFillColorSecondaryBrush	                    Colore di riempimento del controllo secondario
ControlFillColorTertiaryBrush	                    Colore di riempimento del controllo terziario
ControlFillColorDisabledBrush	                    Colore di riempimento del controllo disabilitato
ControlFillColorTransparentBrush	                Colore di riempimento del controllo trasparente
ControlFillColorInputActiveBrush	                Colore di riempimento dell'input attivo del controllo
ControlStrongFillColorDefaultBrush	                Colore di riempimento forte del controllo predefinito
ControlStrongFillColorDisabledBrush	                Colore di riempimento forte del controllo disabilitato
ControlSolidFillColorDefaultBrush	                Colore di riempimento solido del controllo predefinito
	
SubtleFillColorTransparentBrush	                    Colore di riempimento tenue trasparente
SubtleFillColorSecondaryBrush	                    Colore di riempimento tenue secondario
SubtleFillColorTertiaryBrush	                    Colore di riempimento tenue terziario
SubtleFillColorDisabledBrush	                    Colore di riempimento tenue disabilitato
	
ControlAltFillColorTransparentBrush	                Colore di riempimento alternativo del controllo trasparente
ControlAltFillColorSecondaryBrush	                Colore di riempimento alternativo del controllo secondario
ControlAltFillColorTertiaryBrush	                Colore di riempimento alternativo del controllo terziario
ControlAltFillColorQuarternaryBrush	                Colore di riempimento alternativo del controllo quaternario
ControlAltFillColorDisabledBrush	                Colore di riempimento alternativo del controllo disabilitato
	
ControlOnImageFillColorDefaultBrush	                Colore di riempimento del controllo su immagine predefinito
ControlOnImageFillColorSecondaryBrush	            Colore di riempimento del controllo su immagine secondario
ControlOnImageFillColorTertiaryBrush	            Colore di riempimento del controllo su immagine terziario
ControlOnImageFillColorDisabledBrush	            Colore di riempimento del controllo su immagine disabilitato
	
AccentFillColorDisabledBrush	                    Colore di riempimento accentato disabilitato
	
ControlStrokeColorDefaultBrush	                    Colore del tratto del controllo predefinito
ControlStrokeColorSecondaryBrush	                Colore del tratto del controllo secondario
ControlStrokeColorTertiaryBrush                     Colore del tratto del controllo terziario
ControlStrokeColorOnAccentDefaultBrush              Colore del tratto del controllo su accento predefinito
ControlStrokeColorOnAccentSecondaryBrush            Colore del tratto del controllo su accento secondario
ControlStrokeColorOnAccentTertiaryBrush             Colore del tratto del controllo su accento terziario
ControlStrokeColorOnAccentDisabledBrush             Colore del tratto del controllo su accento disabilitato
ControlStrokeColorForStrongFillWhenOnImageBrush     Colore del tratto per riempimento forte su immagine
CardStrokeColorDefaultBrush	                        Colore del tratto della scheda predefinito
CardStrokeColorDefaultSolidBrush	                Colore del tratto della scheda predefinito solido
ControlStrongStrokeColorDefaultBrush            	Colore del tratto forte del controllo predefinito
ControlStrongStrokeColorDisabledBrush           	Colore del tratto forte del controllo disabilitato
SurfaceStrokeColorDefaultBrush	                    Colore del tratto della superficie predefinito
